DateTime,Utilization Rate(Gbps),Downstream Bandwidth Utilized
2021-01-30 00:00 Sat,0.019,8.73
2021-01-30 01:00 Sat,0.014,6.13
2021-01-30 02:00 Sat,0.007,3.12
2021-01-30 03:00 Sat,0.001,0.25
2021-01-30 04:00 Sat,0.001,0.41
2021-01-30 05:00 Sat,0,0.2
2021-01-30 06:00 Sat,0.005,2.1
2021-01-30 07:00 Sat,0.005,2.21
2021-01-30 08:00 Sat,0.006,2.78
2021-01-30 09:00 Sat,0.009,4.21
2021-01-30 10:00 Sat,0.018,8.29
2021-01-30 11:00 Sat,0.015,6.54
2021-01-30 12:00 Sat,0.016,7.18
2021-01-30 13:00 Sat,0.019,8.71
2021-01-30 14:00 Sat,0.005,2.27
2021-01-30 15:00 Sat,0.019,8.73
2021-01-30 16:00 Sat,0.031,14.03
2021-01-30 17:00 Sat,0.039,17.4
2021-01-30 18:00 Sat,0.052,23.52
2021-01-30 19:00 Sat,0.051,22.76
2021-01-30 20:00 Sat,0.092,41.24
2021-01-30 21:00 Sat,0.095,42.6
2021-01-30 22:00 Sat,0.047,21.07
2021-01-30 23:00 Sat,0.044,19.66
2021-01-31 00:00 Sun,0.028,12.44
2021-01-31 01:00 Sun,0.022,10.06
2021-01-31 02:00 Sun,0.019,8.47
2021-01-31 03:00 Sun,0.017,7.49
2021-01-31 04:00 Sun,0.019,8.74
2021-01-31 05:00 Sun,0.017,7.56
2021-01-31 06:00 Sun,0.015,6.59
2021-01-31 07:00 Sun,0.024,10.89
2021-01-31 08:00 Sun,0.025,11.32
2021-01-31 09:00 Sun,0.014,6.22
2021-01-31 10:00 Sun,0.015,6.6
2021-01-31 11:00 Sun,0.017,7.44
2021-01-31 12:00 Sun,0.023,10.46
2021-01-31 13:00 Sun,0.025,11.31
2021-01-31 14:00 Sun,0.053,23.71
2021-01-31 15:00 Sun,0.037,16.61
2021-01-31 16:00 Sun,0.051,22.83
2021-01-31 17:00 Sun,0.043,19.49
2021-01-31 18:00 Sun,0.032,14.33
2021-01-31 19:00 Sun,0.039,17.62
2021-01-31 20:00 Sun,0.039,17.58
2021-01-31 21:00 Sun,0.053,23.9
2021-01-31 22:00 Sun,0.052,23.4
2021-01-31 23:00 Sun,0.036,16.17
2021-02-01 00:00 Mon,0,0
2021-02-01 01:00 Mon,0,0
2021-02-01 02:00 Mon,0,0
